사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-09,1호선,1,서울역,713,9,"8,936","5,592","9,919","28,094","27,805","74,330","47,341","146,295","32,081","98,363","28,675","46,167","33,523","37,752","40,200","39,548","42,585","40,182","38,936","37,543","50,307","38,431","54,527","40,177","97,795","51,018","147,620","53,649","70,612","38,697","47,417","24,004","45,462","19,509","27,347","12,350","9,553","7,368",20,494,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,1호선,10,동묘앞,126,0,"3,295",869,"3,188","3,731","4,865","8,017","6,909","19,482","6,617","15,413","7,970","16,183","12,463","21,050","16,678","23,740","21,599","25,371","24,147","25,031","26,685","21,425","26,596","16,001","23,955","11,997","21,410","8,836","9,733","5,679","5,202","3,573","4,295","3,471","2,516","2,913","1,012","2,083",2,"1,168",0,0,1,0,0,0,2020-10-03 09:02:33
2020-09,1호선,2,시청,21,0,"1,624","3,522","2,771","15,780","5,292","52,899","6,733","133,466","6,897","64,441","7,812","24,205","10,886","19,464","11,804","17,086","14,210","17,372","18,699","14,961","24,803","12,566","29,344","10,813","57,680","11,571","109,734","10,644","41,064","5,769","30,079","3,384","28,344","3,132","14,648","1,708","4,484","1,105",5,60,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,1호선,3,종각,89,3,"2,630","3,801","2,927","20,527","4,765","83,220","7,135","174,753","9,549","105,246","12,550","44,121","18,639","33,221","21,036","29,504","26,294","31,819","32,707","27,339","42,055","24,423","48,905","23,231","102,782","23,687","154,909","26,281","67,338","15,051","52,091","6,424","50,758","4,243","28,961","2,508","10,161","1,457",15,150,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,1호선,4,종로3가,165,20,"3,403","2,638","3,263","10,434","4,150","21,207","6,318","58,620","9,441","58,923","16,524","47,762","25,563","44,474","30,257","41,826","35,011","41,721","39,567","39,715","43,920","33,953","47,606","28,013","59,243","23,756","83,298","22,092","47,250","11,679","31,863","5,152","30,178","3,969","19,370","2,789","6,935","2,167",28,393,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,1호선,5,종로5가,27,3,"1,608","3,467","2,334","13,114","3,976","34,836","6,444","89,143","9,692","58,763","16,095","42,303","23,454","37,740","26,959","35,499","31,076","33,573","36,759","33,646","41,888","29,614","46,651","23,868","63,887","19,239","86,310","16,485","40,929","8,915","24,108","4,093","18,092","3,368","10,408","2,242","2,992","1,448",7,192,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,1호선,6,동대문,483,11,"12,628","1,669","8,737","6,184","12,389","10,630","16,251","22,032","15,444","20,049","13,838","17,979","15,171","19,253","17,336","19,666","17,637","19,388","19,225","18,399","19,824","18,145","21,058","16,376","21,450","16,323","20,890","16,659","14,306","18,547","11,370","11,865","9,922","9,649","7,515","7,950","3,097","8,205",25,850,2,0,1,2,0,0,2020-10-03 09:02:33
2020-09,1호선,7,신설동,292,8,"8,134","2,277","7,828","8,189","14,871","22,632","19,983","54,759","14,644","31,028","12,542","17,300","14,743","15,327","14,409","15,683","16,456","15,818","17,210","15,005","19,600","15,542","23,407","16,020","34,614","18,087","49,596","22,349","19,559","15,657","11,965","9,535","10,435","8,835","6,425","6,505","2,267","4,472",16,346,1,2,0,0,0,0,2020-10-03 09:02:33
2020-09,1호선,8,제기동,332,3,"4,394","2,332","7,556","8,183","18,973","19,508","26,777","40,143","20,477","37,570","26,103","41,521","34,935","43,704","38,761","39,245","38,866","39,392","39,808","41,925","41,926","37,596","38,213","29,379","36,950","22,654","34,461","22,933","16,182","15,374","9,483","9,108","7,975","8,182","5,558","6,163","1,964","3,342",9,340,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,1호선,9,청량리(서울시립대입구),"1,481",28,"10,234","4,895","13,161","14,346","34,488","15,583","40,768","32,584","28,431","30,477","27,138","34,691","32,990","38,622","36,021","37,349","37,422","37,460","38,705","42,327","42,069","41,479","44,667","37,322","42,213","36,014","37,660","43,196","20,421","29,221","15,018","16,413","9,599","15,281","6,324","10,385","2,344","6,120",20,898,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,11,시청,17,1,784,"1,439","1,793","12,776","3,980","62,453","6,079","168,859","6,447","75,381","9,059","19,161","12,904","14,305","12,941","14,221","16,247","15,520","19,881","13,257","23,629","12,273","27,908","10,413","68,014","10,958","138,143","10,733","48,357","5,147","29,532","2,766","24,854","2,558","12,533","1,850","3,369","1,352",8,59,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,12,을지로입구,133,1,"1,827","1,852","2,628","22,603","6,368","104,009","9,923","230,715","11,084","115,912","13,022","51,365","18,900","40,113","22,565","32,693","29,465","33,117","35,379","29,163","45,351","26,419","54,350","25,104","119,239","27,398","194,907","28,785","83,462","15,385","75,234","8,393","43,911","7,478","23,076","5,399","6,435","3,622",1,"1,888",0,0,0,0,0,0,2020-10-03 09:02:33
